Service name,Source website URL,Summary text,Self-referral,Age
Tamil Mental Health Counselling Project EACH,https://eachcounselling.org.uk/tamil-mental-health-counselling-project/,Provides culturally-appropriate counselling for adults from the Tamil community experiencing mental health problems. Counselling is with a qualified Tamil-speaking counsellor.,1,18|19|20|21|22|23|24|25
Star Cenrte EACH,https://eachcounselling.org.uk/star-centre/,"A drop-in service for people with low or moderate mental health needs offering activities like IT classes, quizzes, meals, peer volunteer training, and signposting. It does not offer therapy or counselling, or support for people with high-level mental health needs. You need to be referred by a professional like a keyworker or GP.",,18|19|20|21|22|23|24|25
Mosaic Minds counselling EACH,https://eachcounselling.org.uk/mosaic-minds/,"Counselling for BAME communities in Hounslow, for people who have experienced trauma, PTSD, depression, anxiety and poor mental health.  There is also an after/care support group within the commuity for people to build connections.",1,18|19|20|21|22|23|24|25
Accelerated Support Team EACH,https://eachcounselling.org.uk/ast/,"Supports young people and their families in crisis situations that could result in family breakdown, intervening when the situation at home appears to be getting more serious, as well as where there is a risk of young people entering the care system if the situation does not improve.",1,11|12|13|14|15|16|17
Building Bridges Lasting Support,https://lastingsupportfoundation.org/building-bridges-self-referral/,"Support for children and young people who have experienced domestic violence or harm at home. Weekly sessions include creative actitivies and sports therapy, as well as CBT therapy and wellbeing and mindfulness sessions. Sessions are held in Hanwell.",1,8|9|10|11|12|13|14|15|16|17|18
Sporting Souls Lasting Support,https://lastingsupportfoundation.org/sporting-souls/,A blend of MMA sports therapy and emotional support to help young people build confidence and step away from negative influences by giving them emotional support and the chance to build skills and make friends. You need to be referred by a professional.,,
Mentorship Matters Lasting Support,https://lastingsupportfoundation.org/mentorship-matters/,"Offers young people who are struggling with personal challenges (like behavioural and emotional issues) one-to-one mentoring, workshops, group activities, and the opportunity to hear from guest speakers. The programme covers topics including communication, goal setting, identity and conflict, and dealing with rejection. You need to be referred by a professional.",,
One-to-one counselling West London Action for Children,https://www.wlac.org.uk/programmes/one-to-one-counselling,"Offers a variety of different therapies including CBT, solution-focused, psychodynamic, family, and integrative therapies for young people whose families have a low income. They help with resilience, social and emotional wellbeing, self-esteem, relationships, and making positive choices. Sessions can take place at the organisation’s office, your school, or sometimes over the phone.",1,8|9|10|11|12|13|14|15|16|17|18
Workshops and programmes 2-3 Degrees,https://2-3degrees.com/young-person/upcoming-programmes-events/,"Workshops and programmes to help young people navigate their future, including around employability, personal development, and youth voice.",1,
Resilience Young People's Service Turning Point,https://www.turning-point.co.uk/services/resilience,"Offers one-to-one support and workshops around sexual health, relationships, emotional wellbeing and drug and alcohol use. Also provides drop-ins where you can talk to a member of the team and access condoms and other materials to stay safe.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Sexual health support service SASH,https://www.sashlondon.org/,"Offers counselling, coaching, and peer support around sexual health and wellbeing, relationships, anxiety and depression, exploring emotions, chemsex, living with HIV ot an STI, sex working, or being LGBTQ+.",1,19|20|21|22|23|24|25
Masboro Youth Club Urban Partnership,https://www.upg.org.uk/masbro-youth-club/,"A Youth Club that offers a range of activities including sport, food, cooking, indoor activities, and arts and crafts, as well as opportunities for leadership and learning new skills.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Antidote drug and alcohol support London Friend,https://londonfriend.org.uk/antidote/,Drug and alcohol support for LGBTQ+ adults (including help around chemsex) through  one-to-one support as well as social activities and referrals. You can access support by dropping into a session or by emailing.,1,18|19|20|21|22|23|24|25
Counselling for LGBTBQ+ adults London Friend,https://londonfriend.org.uk/counselling/,"Offers LGBTQ+ adults 12 weeks of one-to-one counselling with a volunteer counsellor, as well as online group sessions for LGBTQ+ adults.",1,18|19|20|21|22|23|24|25
Social groups for LGBTQ+ adults London Friend,https://londonfriend.org.uk/london-friend-groups/,"A range of social groups for LGBTQ+ adults, including gender-specific groups and a group for neurodivergent people, as well as groups based around interests like crafts and creative writing.",1,18|19|20|21|22|23|24|25
Face-to-face support sessions The Listening Place,https://listeningplace.org.uk,"Offers regular face-to-face, one-to-one support sessions with a trained volunteer so adults can talk about their suicidal thouhgts and feelings in a non-judgemental setting.",1,18|19|20|21|22|23|24|25
Harrow Horizons Anna Freud,https://www.annafreud.org/services/harrow-horizons-early-intervention-and-prevention-service/,An emotional wellbeing service where Wellbeing Practitioners offer individual and group sessions for young people with ‘mild to moderate’ mental health needs.,,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Support for young people who self-harm or experience disordered eating wish centre,https://thewishcentre.org.uk/get-help/make-a-referral/,Offers one-to-one therapy (including art therapy) and peer support groups for young who are self-harming or experience disordered eating. Cannot support young people who need crisis support.,1,13|14|15|16|17|18|19|20|21
